id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý ticket P1 là 15 phút cho phản hồi ban đầu và 4 giờ cho xử lý và khắc phục [1].,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,"The answer accurately reflects the SLA for ticket P1 as stated in the provided chunks, with both the initial response time and resolution time correctly cited.",5,The answer directly and completely addresses the question by providing both the initial response time and the resolution time for ticket P1.,5,Retrieved: 1/1 expected sources,5,,variant_transform_expansion
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [1].,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,"The answer accurately reflects the information provided in the chunks, specifically stating the 7-day timeframe for requesting a refund.",5,The model answer directly and completely answers the question regarding the timeframe for requesting a refund.,5,Retrieved: 1/1 expected sources,5,,variant_transform_expansion
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, cần có sự phê duyệt của Line Manager, IT Admin và IT Security [1].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,"The answer accurately states the requirement for Level 3 access, which includes the necessary approvals from Line Manager, IT Admin, and IT Security, all of which are supported by the provided chunks.",5,The answer directly and completely addresses the question by listing all required approvals for Level 3 access.,5,Retrieved: 1/1 expected sources,5,,variant_transform_expansion
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) không được hoàn tiền [1].","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",5,"The answer accurately reflects the information provided in the chunks, specifically stating that digital products are not eligible for refunds, which is directly supported by chunk [1].",5,The model answer directly and completely addresses the question about the refund policy for digital products.,5,Retrieved: 1/1 expected sources,5,,variant_transform_expansion
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,"Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp. Để mở khóa, liên hệ IT Helpdesk hoặc tự reset qua portal SSO. [1]",Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,"The answer is completely grounded in the provided chunks, accurately reflecting the information about account lockout and the steps to unlock it.",5,The answer directly and completely addresses the question about account lockout after failed login attempts.,5,Retrieved: 1/1 expected sources,5,,variant_transform_expansion
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Escalation trong sự cố P1 diễn ra như sau: Nếu không có phản hồi trong 10 phút, ticket sẽ tự động escalate lên Senior Engineer. Trong quá trình xử lý, nếu engineer cần hỗ trợ thêm, họ có thể escalate ngay lập tức [2].",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,"The answer accurately reflects the escalation process for P1 incidents as described in the chunks, including the automatic escalation to a Senior Engineer if there is no response within 10 minutes and the ability for engineers to escalate if they need additional support.",5,"The answer directly and completely explains the escalation process for P1 incidents, including the 10-minute response time and the escalation to a Senior Engineer.",5,Retrieved: 1/1 expected sources,5,,variant_transform_expansion
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,"Approval Matrix để cấp quyền hệ thống là tài liệu quy định quy trình cấp phép truy cập vào các hệ thống nội bộ của công ty, áp dụng cho tất cả nhân viên, contractor, và third-party vendor [1].",Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,5,"The answer accurately reflects the information provided in the chunks, stating the purpose and applicability of the approval matrix for system access.",5,The answer directly and completely addresses the question by identifying the Approval Matrix as a document that regulates access permissions and mentions its current name.,5,Retrieved: 1/1 expected sources,3,The model answer does not mention the new name of the document 'Access Control SOP'.,variant_transform_expansion
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,Nhân viên được làm remote tối đa 2 ngày mỗi tuần [1].,"Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,The answer accurately reflects the information provided in the chunks regarding the remote work policy.,5,The model answer directly and completely answers the question regarding the maximum number of remote days allowed per week.,5,Retrieved: 1/1 expected sources,2,The requirement for Team Lead approval is missing.,variant_transform_expansion
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,Hiện tại hệ thống không đủ dữ liệu để trả lời câu hỏi này.,"Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",5,"The answer correctly states that there is not enough information in the provided context, and the chunks do not contain the requested fact.",5,Abstain đúng và đủ rõ ràng cho người dùng,4,No expected sources; retrieved chunks exist but no source was required,5,Đáp án đầy đủ cho no-data case,variant_transform_expansion
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?",Hiện tại hệ thống không đủ dữ liệu để trả lời câu hỏi này.,"Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",5,"The answer correctly states that there is not enough information in the provided context, and the chunks do not contain the requested fact.",1,Model abstain (không trả lời) trong khi câu hỏi có evidence và expect câu trả lời cụ thể,5,Retrieved: 1/1 expected sources,1,Model abstain (không trả lời) nên completeness = 1,variant_transform_expansion
